iter	MultiClass
257	0.4482179907
258	0.4472616463
259	0.4458486474
260	0.4450084195
261	0.4437068644
262	0.44158899
263	0.4403682992
264	0.439776902
265	0.4385947907
266	0.4378214522
267	0.4368948584
268	0.4351922295
269	0.4349039133
270	0.4336984473
271	0.4314589411
272	0.4300372462
273	0.4293725322
274	0.4279916076
275	0.4272393099
276	0.4257338192
277	0.424371915
278	0.4237668137
279	0.4232062016
280	0.4228656003
281	0.4214768623
282	0.4205620577
283	0.4189762728
284	0.4174511409
285	0.4162987804
286	0.4155977291
287	0.4142094171
288	0.4127507766
289	0.4116950529
290	0.4106369601
291	0.4095995127
292	0.4080413386
293	0.4068669605
294	0.4059998358
295	0.4052675968
296	0.4041202195
297	0.4033523005
298	0.4022198705
299	0.401066216
300	0.400328615
301	0.39933429
302	0.398012478
303	0.3971378554
304	0.3961836271
305	0.3950232016
306	0.3937690725
307	0.3923665336
308	0.3915179091
309	0.3897312706
310	0.3885508004
311	0.3877718227
312	0.3868100044
313	0.3858015224
314	0.3850018184
315	0.3837422316
316	0.3835013846
317	0.3825708171
318	0.3818077003
319	0.380377615
320	0.3782659503
321	0.3776704017
322	0.3764095397
323	0.3760318792
324	0.3751752996
325	0.3741891105
326	0.37368114
327	0.3725406642
328	0.3711998087
329	0.3700095554
330	0.3690928506
331	0.368647129
332	0.3676482402
333	0.3668445563
334	0.3665237465
335	0.3662627773
336	0.3655777389
337	0.3649224495
338	0.3638130426
339	0.362783427
340	0.361693468
341	0.3604491718
342	0.3596351522
343	0.358629091
344	0.3577088181
345	0.3572016313
346	0.3561577674
347	0.3556366875
348	0.3544142208
349	0.3533354308
350	0.3522694205
351	0.3512650308
352	0.3505010189
353	0.3491343169
354	0.3480500031
355	0.347434332
356	0.3470457053
357	0.3464214579
358	0.3452579596
359	0.3443593659
360	0.3439879899
361	0.3434494247
362	0.3431536088
363	0.3426688929
364	0.3420918132
365	0.3411823983
366	0.3404121629
367	0.3396113282
368	0.3388252511
369	0.3377570168
370	0.3370581584
371	0.3365326154
372	0.3356325273
373	0.3345758652
374	0.33366211
375	0.3330006196
376	0.332186781
377	0.3316283764
378	0.3305265505
379	0.3300761108
380	0.329441246
381	0.3293382375
382	0.3289540764
383	0.328006237
384	0.3274731622
385	0.3271035016
386	0.3262703337
387	0.3248733465
388	0.3243549755
389	0.3235564121
390	0.3225199688
391	0.3215350127
392	0.3211280072
393	0.3202752088
394	0.3196920599
395	0.3190390164
396	0.3183639749
397	0.3172041083
398	0.3163754838
399	0.3158808004
400	0.3155862408
401	0.3150943567
402	0.3144318301
403	0.3136813215
404	0.3129485369
405	0.3121158726
406	0.3114785873
407	0.3109320023
408	0.3103209589
409	0.3095365903
410	0.3086374021
411	0.3076537307
412	0.3071475919
413	0.3066620948
414	0.306194685
415	0.3059158793
416	0.3051138626
417	0.304229857
418	0.3033420891
419	0.3022742153
420	0.3015259251
421	0.3007673339
422	0.3002745501
423	0.299980457
424	0.2993467313
425	0.2985624022
426	0.2981321874
427	0.2972024621
428	0.2962462696
429	0.2957902112
430	0.295176496
431	0.2941069986
432	0.2936048488
433	0.2931612085
434	0.2928768841
435	0.29238473
436	0.291899091
437	0.2912929928
438	0.2907777047
439	0.2898880449
440	0.2893171252
441	0.2889842141
442	0.2880272015
443	0.2873791909
444	0.2864486378
445	0.2858154295
446	0.2853709816
447	0.2849710333
448	0.28427909
449	0.2835430832
450	0.2831626279
451	0.2821985341
452	0.2814825856
453	0.2805679248
454	0.2801319308
455	0.2798925543
456	0.2789162588
457	0.2782424624
458	0.2776999393
459	0.277339667
460	0.2768740538
461	0.2761122366
462	0.2757205148
463	0.2753111821
464	0.2746923734
465	0.2742095502
466	0.2740259221
467	0.2732421151
468	0.2727247486
469	0.2720459526
470	0.2718584992
471	0.271081384
472	0.2701317268
473	0.2695945052
474	0.2691026801
475	0.2688449689
476	0.2682012726
477	0.2676373623
478	0.2674604239
479	0.2670979837
480	0.2668837289
481	0.2664089819
482	0.2657648023
483	0.2653392866
484	0.2650060353
485	0.2646106352
486	0.2638258313
487	0.262846314
488	0.2621431904
489	0.2615228232
490	0.2612140331
491	0.2607167852
492	0.2605141882
493	0.2597711151
494	0.2592298777
495	0.2583574633
496	0.2579982162
497	0.2575694206
498	0.2573795496
499	0.2567191774
500	0.2560501592
501	0.2552093693
502	0.2546868697
503	0.2541481116
504	0.2537477463
505	0.2530482444
506	0.2527255835
507	0.2521973605
508	0.2517263958
509	0.2512593725
510	0.2506852596
511	0.2500904406
512	0.2495532865
513	0.2491644098
514	0.2486546391
515	0.2481250213
516	0.2475542486
517	0.247308121
518	0.2468904846
519	0.2463557375
520	0.2458939214
521	0.2454970392
522	0.2453173376
523	0.2449446744
524	0.2444103342
525	0.2438973795
526	0.2436117528
527	0.2431716197
528	0.2424697006
529	0.24203089
530	0.2415148271
531	0.2410122406
532	0.2407818115
533	0.2400186682
534	0.2392907351
535	0.238808713
536	0.2383171979
537	0.237620051
538	0.2370979956
539	0.2367071517
540	0.2365801058
541	0.2360356411
542	0.2354474791
543	0.2350353604
544	0.234550468
545	0.23427549
546	0.2340346381
547	0.2336330492
548	0.2330578276
549	0.2326928805
550	0.232309248
551	0.2319190848
552	0.2315668483
553	0.2312771944
554	0.2305040849
555	0.2300459197
556	0.2295971356
557	0.2290382535
558	0.2287275074
559	0.2283058354
560	0.2278985343
561	0.2277360279
562	0.2272970506
563	0.2269108497
564	0.2264811613
565	0.2262010063
566	0.2258158042
567	0.224999761
568	0.2247918373
569	0.2244558254
570	0.2239372517
571	0.2234280594
572	0.2231879276
573	0.2228458312
574	0.2224309535
575	0.2219418662
576	0.2217466121
577	0.2213709421
578	0.2208840965
579	0.2203816147
580	0.2199042683
581	0.2196785784
582	0.2193268096
583	0.2190566856
584	0.2187194415
585	0.2183290501
586	0.2181808571
587	0.2177938279
588	0.21713115
589	0.2169307797
590	0.216779734
591	0.2165181655
592	0.2161379952
593	0.2157101387
594	0.2154933401
595	0.2149722105
596	0.2148466772
597	0.2143350998
598	0.2142930143
599	0.213585319
600	0.2131216266
601	0.2126654812
602	0.2125315506
603	0.2121176716
604	0.2116226354
605	0.2113421623
606	0.2108244745
607	0.210291127
608	0.2099043846
609	0.2093859909
610	0.2089133234
611	0.2083583165
612	0.2077369703
613	0.2074760209
614	0.2069544109
615	0.2065748317
616	0.2059936871
617	0.2056185553
618	0.2050871687
619	0.2047713032
620	0.204443822
621	0.2040525075
622	0.2036868209
623	0.2032314888
624	0.2027253899
625	0.2022782312
626	0.2019236819
627	0.2017077463
628	0.2014092876
629	0.201074325
630	0.2007085672
631	0.2003427043
632	0.1998452352
633	0.1995107149
634	0.199098665
635	0.1988672992
636	0.1985242538
637	0.1980960377
638	0.1977018593
639	0.1973598082
640	0.196883767
641	0.1966828542
642	0.1963827116
643	0.1961328079
644	0.1957807832
645	0.1954376952
646	0.1950511022
647	0.1948517181
648	0.1943268891
649	0.194050075
650	0.1936801806
651	0.1935692232
652	0.1934044126
653	0.1930938323
654	0.1929563316
655	0.1924467995
656	0.1921932208
657	0.1918241654
658	0.1916106802
659	0.1913477152
660	0.1910356232
661	0.1907615446
662	0.1905437746
663	0.1903038528
664	0.1900548961
665	0.1896089446
666	0.1892167441
667	0.1888136723
668	0.1884651449
669	0.1882783274
670	0.1878019236
671	0.1874183542
672	0.1872451105
673	0.187023765
674	0.1868835789
675	0.1866236829
676	0.1861071793
677	0.1856915049
678	0.1855312355
679	0.185162705
680	0.1847665821
681	0.1845539294
682	0.184250255
683	0.1839473264
684	0.1838647016
685	0.1835940648
686	0.1832667546
687	0.1827819361
688	0.1824881803
689	0.1821310751
690	0.1816325839
691	0.1814163407
692	0.1812508503
693	0.1808268952
694	0.1806180743
695	0.1803943971
696	0.1801894788
697	0.1798616844
698	0.179635638
699	0.1792523752
700	0.179025035
701	0.1786715068
702	0.1782991574
703	0.1781526835
704	0.1778242148
705	0.177533317
706	0.1773850966
707	0.1770825936
708	0.1766949247
709	0.1764236338
710	0.1760975835
711	0.1757214165
712	0.1753650349
713	0.174987267
714	0.1746528283
715	0.1742421317
716	0.1739712432
717	0.1738670963
718	0.1735181378
719	0.1733127215
720	0.1731540947
721	0.1728693194
722	0.1724799849
723	0.1722211545
724	0.1719110228
725	0.1716506552
726	0.1713806712
727	0.17106227
728	0.1706925829
729	0.1705034932
730	0.1701366413
731	0.1697979957
732	0.1696712858
733	0.1695083484
734	0.1690853126
735	0.168855324
736	0.1685707008
737	0.1682234096
738	0.1680278768
739	0.1678163422
740	0.1675831063
741	0.1673250045
742	0.1671149754
743	0.1667903575
744	0.1664781654
745	0.1661547397
746	0.1658205905
747	0.1655444408
748	0.1653075621
749	0.165030544
750	0.1647373642
751	0.1645986865
752	0.1641226988
753	0.1640143085
754	0.1636990265
755	0.1634639361
756	0.1633402888
757	0.163123548
758	0.1630434812
759	0.1628043965
760	0.1624478288
761	0.1621743268
762	0.1619683841
763	0.1616548774
764	0.1614837495
765	0.1613671641
766	0.1611138115
767	0.1608459834
768	0.1605111
769	0.1602356005
770	0.1598585525
771	0.1595643638
772	0.1591939701
773	0.1589443984
774	0.1587468574
775	0.1583530957
776	0.1580767608
777	0.1577800988
778	0.157496869
779	0.1572020361
780	0.1570682258
781	0.1566763679
782	0.1563961581
783	0.1562321882
784	0.1559628318
785	0.1558344663
786	0.1555172012
787	0.155340255
788	0.1550761786
789	0.1546620208
790	0.1544592111
791	0.1541838494
792	0.1538904597
793	0.1536570801
794	0.1535650107
795	0.1532930701
796	0.1530627682
797	0.152906381
798	0.1525594192
799	0.1524158834
800	0.152273561
801	0.1519911376
802	0.1516819402
803	0.1513737842
804	0.1509922946
805	0.1508987204
806	0.1504742063
807	0.1503583104
808	0.1502087687
809	0.1499747634
810	0.1498367587
811	0.1495794962
812	0.1494456411
813	0.1491653064
814	0.1489298097
815	0.1489116847
816	0.1486449044
817	0.1484314511
818	0.1481113094
819	0.1479998428
820	0.1479097068
821	0.1476365953
822	0.1473646084
823	0.1471981793
824	0.1469983646
825	0.146757678
826	0.1466098469
827	0.1464624941
828	0.1461577036
829	0.145998022
830	0.1457041858
831	0.1454229251
832	0.1451774203
833	0.1451000607
834	0.144949565
835	0.1448451537
836	0.1446576978
837	0.1444616605
838	0.1440671981
839	0.1438310872
840	0.1436559086
841	0.1434766153
842	0.143383946
843	0.1429420061
844	0.1428248375
845	0.1426651802
846	0.1425474728
847	0.1423137775
848	0.142048796
849	0.1417905679
850	0.1416783049
851	0.1416341531
852	0.1413977754
853	0.1411728204
854	0.1409330616
855	0.1407516103
856	0.1406885588
857	0.1403700023
858	0.1400008491
859	0.139758148
860	0.1396546223
861	0.1394907702
862	0.1391890282
863	0.1390505857
864	0.138806062
865	0.1386237332
866	0.1385234913
867	0.1383289656
868	0.1380973383
869	0.1380362477
870	0.1377961908
871	0.1376262398
872	0.1374235248
873	0.137159294
874	0.1370439891
875	0.1368380826
876	0.1366608571
877	0.1365045876
878	0.136319953
879	0.1360982802
880	0.1359106922
881	0.1358330875
882	0.1356432781
883	0.135457281
884	0.1353931824
885	0.1350993381
886	0.1348095782
887	0.1346693821
888	0.1345811785
889	0.1344622854
890	0.1343374728
891	0.1340298552
892	0.1336942823
893	0.133456329
894	0.1332901511
895	0.1331851716
896	0.1329636126
897	0.1327632137
898	0.1325301118
899	0.1323125626
900	0.1322466457
901	0.1320788145
902	0.1319121202
903	0.1316763164
904	0.1315695704
905	0.1313361137
906	0.1312358447
907	0.1310856502
908	0.1309058626
909	0.1306672755
910	0.1305370573
911	0.1303654329
912	0.1301561473
913	0.1299705229
914	0.1298138774
915	0.1297060059
916	0.1294868433
917	0.1293270069
918	0.1292149451
919	0.1290133161
920	0.1288175606
921	0.1284795907
922	0.1282651675
923	0.1282056283
924	0.1280168734
925	0.1278651716
926	0.1277446093
927	0.1275626067
928	0.1274554285
929	0.1272873803
930	0.1270748036
931	0.1269605014
932	0.126749398
933	0.126576337
934	0.1264330622
935	0.1261960293
936	0.1260481984
937	0.1258722302
938	0.1257466143
939	0.1256000865
940	0.1254432463
941	0.1252258727
942	0.1249427827
943	0.1247880353
944	0.1246178178
945	0.1243651459
946	0.124238902
947	0.1239738506
948	0.1238712038
949	0.1236642388
950	0.1234141183
951	0.1230922892
952	0.1229040016
953	0.1226956684
954	0.122507752
955	0.1223189914
956	0.1221372754
957	0.12198853
958	0.1218214761
959	0.121738032
960	0.121569183
961	0.1213806086
962	0.1211579148
963	0.1209930549
964	0.1208284841
965	0.1206976045
966	0.1205044746
967	0.120294172
968	0.1200334079
969	0.1198494752
970	0.1197165143
971	0.1194836875
972	0.1193480297
973	0.1190076176
974	0.1188175864
975	0.1186698656
976	0.1185130821
977	0.118402641
978	0.1182561727
979	0.1179741173
980	0.117691336
981	0.1174346512
982	0.1173714246
983	0.1172221486
984	0.1171316022
985	0.1168636905
986	0.1167965137
987	0.116570496
988	0.1164445218
989	0.1163065361
990	0.1161977684
991	0.1159922396
992	0.115762043
993	0.1156252864
994	0.1154069859
995	0.1152740964
996	0.1151741138
997	0.1149920519
998	0.1148611369
999	0.1147436349
